activity_id,country_code,percentage
DE-1-202506004-8326,TZ,100.0
XI-IATI-EC_INTPA-2021-ACT-63602,ET,
XM-DAC-6-4-013416-01-0,UG,100.0
DE-1-202506004-8363,CD,100.0
DE-1-202506004-8270,ET,100.0
DE-1-202506004-8357,ET,100.0
GB-GOV-1-300427,SS,100.0
XM-DAC-69-2-2023000047,KE,100.0
XI-IATI-WBTF-P172031,SO,
XM-DAC-928-TZ-2026-27-02.002.AF01.TZA02,TZ,100.0
XM-DAC-928-SO-2026-27-02.002.EM01.SOM02,SO,100.0
XM-DAC-928-CD-2026-27-02.002.AF01.COD02,CD,100.0
CA-3-P009514001,ET,100.0
XM-DAC-928-UG-2026-27-02.002.AF01.UGA02,UG,100.0
CH-4-2021-2021002199,SS,
CH-4-2021-2021002201,SS,
CH-4-2021-2021002202,SS,
XM-DAC-928-ET-2026-27-02.002.AF01.ETH02,ET,100.0
CH-4-2024-2024000125,CD,
CH-4-2023-2023001255,CD,
XM-DAC-928-KE-2026-27-02.002.AF01.KEN02,KE,100.0
DE-1-202306009-7348,RW,100.0
NL-KVK-41160054-201432,SS,100.0
CH-4-2012006701,TZ,
XI-IATI-EC_INTPA-2022-ACT-60684,ET,
GB-CHC-802353-HHOJ,ET,100.0
CH-4-2021-2020001134,RW,
CH-4-2020001134,RW,
CA-3-P009439002,TZ,100.0
NL-KVK-41160054-201508,SS,
US-EIN-13-3327220-SHINE,SO,100.0
CA-3-P009439001,TZ,100.0
CH-4-2025-2025000399,TZ,
GB-CHC-261488-KEA41GK,KE,100.0
GB-COH-04465125-NIHR-P93366,GM,10.0
GB-COH-04465125-NIHR-P93366,GH,50.0
GB-COH-04465125-NIHR-P93366,BF,10.0
GB-COH-04465125-NIHR-P93366,KE,10.0
GB-COH-04465125-NIHR-P93366,SD,10.0
GB-COH-04465125-NIHR-P93366,ZM,10.0
CH-4-2023-1997001367,TZ,
CH-4-2022-1997001361,TZ,
CH-4-2022-1997001367,TZ,
CH-4-2024-1997001367,TZ,
CH-4-2024-1997001370,TZ,
CH-4-2024-1997001367,TZ,
CH-4-2024-1997001370,TZ,
US-EIN-13-5660870-DF187,SS,
CH-4-2021-2020001133,CD,
CH-4-2020001133,CD,
CH-4-2021-2008004839,CD,
CH-4-2021-2008004875,CD,
CH-4-2008004839,CD,
CH-4-2008004840,CD,
CH-4-2008004839,CD,
CH-4-2008004840,CD,
CH-4-2008004875,CD,
BE-BCE_KBO-0418766123-PROG2017-2021_SO18,RW,100.0
CH-4-2023-2020010138,CD,
CH-4-2021-2020009750,CD,
