donor_intelligence_id,donor_name,source_aliases,project_count,active_projects,pipeline_projects,reported_budget,reported_budget_usd,disbursement_usd,future_disbursement_usd,disbursement_ratio,average_score,high_priority_opportunities,likely_procurement_count,top_countries,country_count,country_concentration,top_implementers,top_equipment_categories,equipment_specificity,next_window,latest_update,donor_score,commercial_priority,intelligence_notes,source_layer
donor_intel_5b5eed9ca6ea,William and Flora Hewlett Foundation,William and Flora Hewlett Foundation,2,2,0,2495200.0,2495200.0,234800.0,1990000.0,0.094,89.2,2,2,ET; KE; MW; NG,6,0.167,African Institute for Development Policy; Center for Rapid Evidence Synthesis,Facility Infrastructure,1.0,2027-04-01,,100.0,Tier 1,High equipment specificity; Has dated future disbursements; Contains likely procurement programmes,intelligence
donor_intel_2f967c50ef62,UNICEF-United Arab Emirates,UNICEF-United Arab Emirates,15,14,1,917440550.0,917440550.0,76961627.25,272150165.0,0.084,89.0,15,1,TZ; CD; KE; ET,6,0.253,IP not published; UNICEF; PS MINISTRY OF HEALTH AND SOCIAL WELFARE HEALTH PROMOTION; PS MINISTRY OF HEALTH ZNZ,Medical Devices; Facility Infrastructure,0.067,2027-01-01; 2026-12-31,,95.9,Tier 1,Has dated future disbursements; Contains likely procurement programmes,intelligence
donor_intel_bf582465e170,University of Birmingham,University of Birmingham,1,1,0,4030527.81,5167343.35,0.0,0.0,0.0,78.7,1,1,GB; KE; NG; US,4,0.25,African Population Health Research Center; Bayero University; Health Research Operations Kenya Limited - The Operating Vehicle for the KEMRI-Wellcome Trust Research Programme; University of Edinburgh,Facility Infrastructure,1.0,nan,,95.5,Tier 1,High equipment specificity; Contains likely procurement programmes,intelligence
donor_intel_2bf211d25341,Central Emergency Response Fund,Central Emergency Response Fund,16,14,2,939334312.0,939334312.0,72980822.33,316385232.0,0.078,91.6,16,0,SS; CD; ET; SO,5,0.273,UNICEF; IP not published; AMREF HEALTH AFRICA; WORLD VISION INTERNATIONAL,Medical Devices; Facility Infrastructure,0.0,2027-01-01; 2026-12-31,,95.4,Tier 1,Has dated future disbursements,intelligence
donor_intel_b7d4c310a94f,"Federal Ministry for Economic Cooperation and Development (BMZ), Germany","Federal Ministry for Economic Cooperation and Development (BMZ), Germany",4,4,0,18052774.08,18052774.08,224389.15,0.0,0.012,78.2,4,4,ET; KE; SO; SS,4,0.25,World Health Organization,Diagnostic Equipment; Laboratory Equipment,1.0,nan,,95.3,Tier 1,High equipment specificity; Contains likely procurement programmes,intelligence
donor_intel_c8bbef7def40,Cyprus,Cyprus,6,4,2,110350230.0,110350230.0,16115683.14,24006799.0,0.146,88.8,6,1,TZ; KE; RW; SS,5,0.222,IP not published; UNICEF; BUHIGWE DISTRICT COUNCIL; CATHOLIC RELIEF SERVICES,Medical Devices; Facility Infrastructure,0.167,2027-01-01; 2026-12-31,,94.7,Tier 1,Has dated future disbursements; Contains likely procurement programmes,intelligence
donor_intel_9b584d4cb718,European Investment Bank,European Investment Bank,16,13,3,969656432.65,969656432.65,115888684.99,299794312.0,0.12,89.0,15,2,CD; ET; TZ; KE,7,0.188,IP not published; UNICEF; DIVISION PROVINCIALE SANTE BAS UELE; DIVISION PROVINCIALE SANTE TSHUAPA,Facility Infrastructure; Medical Devices; Diagnostic Equipment; Laboratory Equipment,0.125,2027-01-01; nan,,94.4,Tier 1,Has dated future disbursements; Contains likely procurement programmes,intelligence
donor_intel_99c11c1b8b55,USA (State) GHSD,USA (State) GHSD,25,23,2,1772651572.0,1772651572.0,133898834.01,643023647.0,0.076,87.6,25,0,KE; ET; CD; SO,6,0.203,IP not published; UNICEF; AGENCE D ACHAT DES PERFORMANCES; COUNTY GOVERNMENT OF BUSIA DEPARTMENT OF HEALTH AND SANITATION,Medical Devices; Facility Infrastructure,0.0,2027-01-01; 2026-12-31,,94.2,Tier 1,Has dated future disbursements,intelligence
donor_intel_6e2ac7587f92,Gates Philanthropy Partners,Gates Philanthropy Partners,3,3,0,9308305.43,9308305.43,224389.15,0.0,0.024,77.9,3,3,ET; KE; SS,3,0.333,World Health Organization,Diagnostic Equipment; Laboratory Equipment,1.0,nan,,94.2,Tier 1,High equipment specificity; Contains likely procurement programmes,intelligence
donor_intel_5499cc222745,Mohamed bin Zayed Foundation for Humanity,Mohamed bin Zayed Foundation for Humanity,3,3,0,9308305.43,9308305.43,224389.15,0.0,0.024,77.9,3,3,ET; KE; SS,3,0.333,World Health Organization,Diagnostic Equipment; Laboratory Equipment,1.0,nan,,94.2,Tier 1,High equipment specificity; Contains likely procurement programmes,intelligence
