engagement_id,target_account_id,account_name,engagement_type,related_iati_identifier,related_programme_title,engagement_stage,next_step,due_quarter,source_layer
engagement_886e91800e68,acct_7463f1fc3f54,Gates Foundation,Donor route mapping,DAC-1601-INV-067080,Laboratory Infrastructure and Procurement Strengthening,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q4 2026,commercial
engagement_1c4901ceb5e0,acct_1ede24e838ce,World Health Organization,Donor route mapping,XM-DAC-41122-United Rep. of Tanzania-4550/A0/06/880/005,This activity will contribute to achieving results for the SOCIAL AND BEHAVIOUR CHANGE AND GENDER output,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_b628212cb0bd,acct_4a46a77c872f,UNICEF,Donor route mapping,XM-DAC-41122-Somalia-3920/A0/09/001/003,"This activity will contribute to achieving results for the RESILIENT, RESPONSIVE AND SUSTAINABLE HEALTH SYSTEMS output",Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_85de6154b102,acct_3581465b52eb,UNICEF Regular Resources,Donor route mapping,XM-DAC-41122-Somalia-3920/A0/09/001/003,"This activity will contribute to achieving results for the RESILIENT, RESPONSIVE AND SUSTAINABLE HEALTH SYSTEMS output",Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_9c0efe8dba6e,acct_a8c35b628a1d,The United Kingdom,Donor route mapping,XM-DAC-41122-United Rep. of Tanzania-4550/A0/06/001/003,This activity will contribute to achieving results for the QUALITY OF CARE output,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_507400178ccb,acct_0035179113d1,Republic of Korea,Donor route mapping,KR-GOV-010-KR-GOV-051-2024010100089,"Enhancing Surveillance Capacity and Preparedness for Epidemics and Health Emergencies in Kinshasa/Upper Katanga, DRC",Prioritise,Open account plan for donor route and map procurement stakeholders.,Q4 2026,commercial
engagement_8c9511e52cd4,acct_cd26a9aa235d,United States Fund for UNICEF,Donor route mapping,XM-DAC-41122-United Rep. of Tanzania-4550/A0/06/001/003,This activity will contribute to achieving results for the QUALITY OF CARE output,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_6b2f0a287e96,acct_f8b775e2ee2b,Bureau for Humanitarian Assistance,Donor route mapping,XM-DAC-41122-United Rep. of Tanzania-4550/A0/06/001/003,This activity will contribute to achieving results for the QUALITY OF CARE output,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_146f1c06e0a0,acct_5a4c030c129e,Global - Thematic Humanitarian Resp,Donor route mapping,XM-DAC-41122-United Rep. of Tanzania-4550/A0/06/001/003,This activity will contribute to achieving results for the QUALITY OF CARE output,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
engagement_71efe822d785,acct_b33ff7ca66da,Canada,Donor route mapping,XM-DAC-41122-United Rep. of Tanzania-4550/A0/06/001/003,This activity will contribute to achieving results for the QUALITY OF CARE output,Prioritise,Open account plan for donor route and map procurement stakeholders.,Q1 2027,commercial
