activity_id,org_ref,org_name,role,org_type
DE-1-202506004-8326,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),reporting,
DE-1-202506004-8326,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),funding,10
DE-1-202506004-8326,,CBM Christoffel-Blindenmission Christian Blind Mission e.V.,implementing,
DE-1-202506004-8326,,Engagement Global gGmbH,accountable,22
XI-IATI-EC_INTPA-2021-ACT-63602,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,reporting,
XI-IATI-EC_INTPA-2021-ACT-63602,XI-IATI-EC_INTPA,European Commission,funding,15
XI-IATI-EC_INTPA-2021-ACT-63602,XM-DAC-42000,XM-DAC-42000,implementing,40
XI-IATI-EC_INTPA-2021-ACT-63602,XM-DAC-42000,"European Investment Bank (Trust fund via EIB like FEMIP, NIF, Interest subsidies...)",accountable,40
XM-DAC-6-4-013416-01-0,XM-DAC-6-4,AICS - Italian Agency for Cooperation and Development,reporting,
XM-DAC-6-4-013416-01-0,XM-DAC-6-4,AICS - Italian Agency for Cooperation and Development,funding,10
XM-DAC-6-4-013416-01-0,IT-CF-12621570154,UNIVERSITÀ DEGLI STUDI MILANO-BICOCCA EPE,implementing,15
XM-DAC-6-4-013416-01-0,XM-DAC-6-4,AICS - Italian Agency for Cooperation and Development,accountable,10
DE-1-202506004-8363,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),reporting,
DE-1-202506004-8363,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),funding,10
DE-1-202506004-8363,,"Gesundes Afrika, Gesellschaft für Medizin und Forschung in Afrika e.V.",implementing,
DE-1-202506004-8363,,Engagement Global gGmbH,accountable,22
DE-1-202506004-8270,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),reporting,
DE-1-202506004-8270,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),funding,10
DE-1-202506004-8270,,humedica e.V.,implementing,22
DE-1-202506004-8270,,Engagement Global gGmbH,accountable,22
DE-1-202506004-8357,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),reporting,
DE-1-202506004-8357,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),funding,10
DE-1-202506004-8357,,Stiftung Menschen für Menschen - Karlheinz Böhms Äthiopienhilfe -,implementing,
DE-1-202506004-8357,,Engagement Global gGmbH,accountable,22
GB-GOV-1-300427,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",reporting,
GB-GOV-1-300427,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",funding,10
GB-GOV-1-300427,,SHIMAHR CONSULTANTS LTD,implementing,
GB-GOV-1-300427,,WS INSIGHT LIMITED,implementing,
GB-GOV-1-300427,,WORLD HEALTH ORGANISATION (WHO),implementing,
GB-GOV-1-300427,,LUGOR AND CO ADVOCATES,implementing,
GB-GOV-1-300427,,HADNET GENERAL TRADING COMPANY LIMITED,implementing,
GB-GOV-1-300427,4790,MOTT MACDONALD LTD,implementing,
GB-GOV-1-300427,GB-COH-02394229,Palladium International Ltd (UK),implementing,
GB-GOV-1-300427,GB-COH-03259922,Crown Agents Bank,implementing,
GB-GOV-1-300427,GB-COH-3122495,Oxford Policy Management,implementing,
GB-GOV-1-300427,XM-DAC-928,World Health Organization (WHO),implementing,
GB-GOV-1-300427,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",accountable,10
XM-DAC-69-2-2023000047,XM-DAC-69-1,Ministry of Foreign and European Affairs of the Slovak Republic,reporting,
XM-DAC-69-2-2023000047,XM-DAC-69-2,"Národný ústav srdcových a cievnych chorôb, a.s.",accountable,10
XI-IATI-WBTF-P172031,XI-IATI-WBTF,World Bank Trust Funds,reporting,
XI-IATI-WBTF-P172031,AU-5,Australia - Ministry for Foreign Affairs and Trade,funding,10
XI-IATI-WBTF-P172031,CH-4,Swiss Agency for Development and Cooperation (SDC),funding,10
XI-IATI-WBTF-P172031,DAC-1601,Bill and Melinda Gates Foundation,funding,60
XI-IATI-WBTF-P172031,DE-1,Federal Ministry for Economic Cooperation and Development (BMZ),funding,10
XI-IATI-WBTF-P172031,FI-3,Finland - Ministry of Foreign Affairs,funding,10
XI-IATI-WBTF-P172031,GB-GOV-1,UK - Department for International Development (DFID),funding,10
XI-IATI-WBTF-P172031,GB-GOV-13,United Kingdom - Department of Energy and Climate Change,funding,10
XI-IATI-WBTF-P172031,NO-BRC-971277882,Norwegian Agency for Development Cooperation (NORAD),funding,10
XI-IATI-WBTF-P172031,SE-0,Swedish International Development Cooperation Agency (SIDA),funding,10
XI-IATI-WBTF-P172031,TF509001,Canada - Department of Foreign Affairscomma Trade and Development,funding,10
XI-IATI-WBTF-P172031,TF510001,Netherlands - Ministry for Foreign Trade and Development Cooperation,funding,10
XI-IATI-WBTF-P172031,TF511001,Norway - Ministry of Foreign Affairs,funding,10
XI-IATI-WBTF-P172031,TF513001,Japan - Ministry of Finance,funding,10
XI-IATI-WBTF-P172031,TF516003,State Secretariat for Economic Affairscomma SECO,funding,10
XI-IATI-WBTF-P172031,TF518001,Italy - Ministry of Foreign Affairs International Cooperation,funding,10
XI-IATI-WBTF-P172031,TF521003,Spain - Ministry of Economycomma Industry and Competitiveness,funding,10
XI-IATI-WBTF-P172031,TF527008,Luxembourg Ministry for Sustainable Development and Infrastructure,funding,10
XI-IATI-WBTF-P172031,TF530001,Austria - Ministry of Finance,funding,10
XI-IATI-WBTF-P172031,TF533001,Iceland - Ministry for Foreign Affairs,funding,10
XI-IATI-WBTF-P172031,TF540021,Germany - Ministry for the Environmentcomma Nature Conservation and Nuclear Safety,funding,10
