activity_id,planned_disbursement_index,type_code,period_start,period_end,amount,currency,value_date,provider_org_ref,provider_org_name,provider_org_type,provider_activity_id,receiver_org_ref,receiver_org_name,receiver_org_type,receiver_activity_id
NL-KVK-41160054-201432,0,1,2025-01-01,2025-03-31,219967.0,EUR,2025-01-01,,,,,,,,
NL-KVK-41160054-201508,0,1,2025-07-01,2026-06-30,4777976.61,EUR,2025-07-01,,,,,,,,
DAC-1601-INV-074669,0,1,2026-01-01,2026-03-31,0.0,USD,2026-01-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,1,1,2026-04-01,2026-06-30,0.0,USD,2026-04-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,2,1,2026-07-01,2026-09-30,0.0,USD,2026-07-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,3,1,2026-10-01,2026-12-31,0.0,USD,2026-10-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,4,1,2027-01-01,2027-03-31,1503091.0,USD,2027-01-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,5,1,2027-04-01,2027-06-30,0.0,USD,2027-04-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,6,1,2027-07-01,2027-09-30,0.0,USD,2027-07-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-074669,7,1,2027-10-01,2027-12-31,0.0,USD,2027-10-01,DAC-1601,Gates Foundation,60,,,"Vital Strategies, Inc.",,
DAC-1601-INV-075238,0,1,2026-01-01,2026-03-31,0.0,USD,2026-01-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,1,1,2026-04-01,2026-06-30,0.0,USD,2026-04-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,2,1,2026-07-01,2026-09-30,357298.0,USD,2026-07-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,3,1,2026-10-01,2026-12-31,0.0,USD,2026-10-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,4,1,2027-01-01,2027-03-31,0.0,USD,2027-01-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,5,1,2027-04-01,2027-06-30,0.0,USD,2027-04-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,6,1,2027-07-01,2027-09-30,0.0,USD,2027-07-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
DAC-1601-INV-075238,7,1,2027-10-01,2027-12-31,0.0,USD,2027-10-01,DAC-1601,Gates Foundation,60,,,Opian Information Communication Technology PLC,,
