organisation_alias_id,organisation_entity_id,alias,org_ref,role,source_activity_count,source_layer
org_alias_74407542728d,org_cce1ecabbcac,Swiss Agency for Development and Cooperation (SDC),CH-4,funding,589,canonical
org_alias_3520f5fb435a,org_cce1ecabbcac,Swiss Agency for Development and Cooperation (SDC),CH-4,reporting,585,canonical
org_alias_e24380c27a2d,org_1d31aa894b28,Gates Foundation,DAC-1601,funding,407,canonical
org_alias_2a87717c4e2c,org_1d31aa894b28,Gates Foundation,DAC-1601,reporting,394,canonical
org_alias_8858edcc9e60,org_10d2303f236a,UNICEF,XM-DAC-41122,implementing,332,canonical
org_alias_05e97ffae074,org_10d2303f236a,UNICEF,XM-DAC-41122,reporting,330,canonical
org_alias_c41df082bbc6,org_da2ea093755f,Ministry for Foreign Affairs of Finland,FI-3,funding,279,canonical
org_alias_51195d08dafd,org_da2ea093755f,Ministry for Foreign Affairs of Finland,FI-3,reporting,279,canonical
org_alias_72195d6b444c,org_906aee231f3a,World Health Organization,XM-DAC-928,implementing,256,canonical
org_alias_6ce71335f0b6,org_906aee231f3a,World Health Organization,XM-DAC-928,accountable,254,canonical
org_alias_8e65d46718a3,org_150f3106e43a,UNICEF Regular Resources,XM-DAC-41122-U99999,funding,249,canonical
org_alias_d91e1a285cc1,org_906aee231f3a,World Health Organization,XM-DAC-928,reporting,244,canonical
org_alias_65fefa04dc4c,org_d96f8fde4782,The United Kingdom,GB-GOV-1,funding,153,canonical
org_alias_d56d0cadc3ac,org_906aee231f3a,World Health Organization,XM-DAC-928,funding,141,canonical
org_alias_763e6a2b602f,org_feb359fc4dce,Global - Thematic Humanitarian Resp,XM-DAC-41122-T49906,funding,130,canonical
org_alias_74f3950d7d19,org_6b40f25e9a1b,Japan,XM-DAC-701-2,funding,121,canonical
org_alias_cdee35a6b09b,org_35c116a57126,United States Fund for UNICEF,XM-DAC-41122-C45601,funding,119,canonical
org_alias_5ac4343eb649,org_89136f8179ea,UNOCHA,XM-DAC-41127,funding,113,canonical
org_alias_24af8c9baac3,org_64ad9407340a,Ministry of Foreign and European Affairs of the Slovak Republic,XM-DAC-69-1,reporting,112,canonical
org_alias_e6c25027cc21,org_839cd73be018,ONG basée dans un pays donneur,XM-DAC-22000,implementing,111,canonical
org_alias_00bf66a4bf35,org_f8745630db84,ONG basée dans un pays en développement,XM-DAC-23000,implementing,105,canonical
org_alias_bed74d76c525,org_8b4dad7cea2d,Canada,CA-4,funding,104,canonical
org_alias_42f09de8d117,org_9f9a39a5a240,Federal Ministry for Economic Cooperation and Development (BMZ),DE-1,funding,104,canonical
org_alias_f33b540c8744,org_d519f4b3c443,Bureau for Humanitarian Assistance,US-GOV-1,funding,103,canonical
org_alias_e88fa8b252b7,org_9f9a39a5a240,Federal Ministry for Economic Cooperation and Development (BMZ),DE-1,reporting,96,canonical
org_alias_27df940e0a18,org_2c4d41679def,European Commission / ECHO,XI-IATI-EC_ECHO,funding,93,canonical
org_alias_63968c3de2bf,org_a22a45033975,European Commission,XI-IATI-EC_INTPA,funding,92,canonical
org_alias_3819a690bd87,org_a22a45033975,European Commission - Directorate-General for International Partnerships,XI-IATI-EC_INTPA,reporting,92,canonical
org_alias_a6735a9c8c20,org_d519f4b3c443,USA USAID,US-GOV-1,funding,86,canonical
org_alias_247e4b22ee26,org_8115a4cf873d,Malaria Consortium,GB-CHC-1099776,reporting,82,canonical
org_alias_ca4e6f818151,org_29657316aa8d,Innovations_for_Poverty_Action,Innovations_for_Poverty_Action,implementing,81,canonical
org_alias_3313d59fb4bd,org_afc19e70be13,Consolidated Funds from NatComs,XM-DAC-41122-C49902,funding,80,canonical
org_alias_ba0d17042db9,org_52ebda6614bb,GAVI The Vaccine Alliance,47122,funding,79,canonical
org_alias_6e6d6277b47a,org_67e57e50dec1,German Committee for UNICEF,XM-DAC-41122-C52501,funding,75,canonical
org_alias_f1db6eef8e93,org_f77fbea7407e,MPTFO - UN Multi Partner,XI-IATI-UNPF,funding,73,canonical
org_alias_1f136a03d3a0,org_dd4fd3555e3d,MINISTRY OF HEALTH DEVELOPMENT SOMALILAND,XM-DAC-41122-VN-218981,implementing,71,canonical
org_alias_8da1e0eb2107,org_b560c2233d4a,MINISTRY OF HEALTH AND SOCIAL CARE HIRSHABELLE STATE OF SOMALIA,XM-DAC-41122-VN-241612,implementing,70,canonical
org_alias_102ff91c92c0,org_578e7470dc59,IP not published,XM-DAC-41122-VN-216405,implementing,66,canonical
org_alias_744924eee4f0,org_7a3d99dd3ace,IP not published,XM-DAC-41122-VN-235910,implementing,66,canonical
org_alias_ac9b1a35a17f,org_43c9dae7d836,SIDA - Sweden,SE-0,funding,66,canonical
org_alias_333c52b95529,org_d96f8fde4782,"Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,accountable,64,canonical
org_alias_ba3f2e042a20,org_d96f8fde4782,"Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,funding,64,canonical
org_alias_1ef354181e80,org_d96f8fde4782,"UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,reporting,64,canonical
org_alias_095689fbc7a6,org_67a8eca476b8,Innovations For Poverty Action,US-EIN-061660068,reporting,62,canonical
org_alias_3beb9f49c03c,org_afbd2f538c3d,Republic of Korea,KR-GOV-010,funding,61,canonical
org_alias_de8f07ea4c1d,org_afbd2f538c3d,Office for Government Policy Coordination,KR-GOV-010,reporting,59,canonical
org_alias_9cd0965ab310,org_f8745630db84,Developing country-based NGO,XM-DAC-23000,implementing,55,canonical
org_alias_11622f7d2563,org_ad2a79e69f64,European Commission/EC,XI-IATI-EC_FPI,funding,54,canonical
org_alias_11656ce7c7c4,org_bea0bd9cfce4,AMHARA BUREAU OF WATER IRRIGATION AND ENERGY DEVELOPMENT,XM-DAC-41122-VN-203869,implementing,51,canonical
org_alias_d628f5c88e6c,org_07138d46e8df,IP not published,XM-DAC-41122-VN-219762,implementing,51,canonical
org_alias_804e4474755f,org_691727bbc8e8,POPULATION MEDIA CENTER,US-EIN-030358029,implementing,51,canonical
org_alias_0cfea17fef82,org_91fec0b493da,SAVE THE CHILDREN UK ETHIOPIA,XM-DAC-41122-VN-235056,implementing,51,canonical
