organisation_intelligence_id,organisation_entity_id,organisation_name,account_type,roles,activity_count,active_activity_count,pipeline_activity_count,country_codes,country_names,reported_budget,average_opportunity_score,high_priority_opportunities,top_equipment_categories,commercial_relevance,latest_update,source_layer
org_intel_7463f1fc3f54,org_1d31aa894b28,Gates Foundation,Donor,funding; reporting; implementing,450,437,13,ZA; AO; CM; CD; ET; GH; CI; KE; MG; NG; ZW; SN; UG; ZM; CG; MZ; TZ; RW; GM; MW; ML; PE; PK; BD; IN; ID; VN; SO; BJ; SL; BF; DO; GT; HT; HN; NI; PA; MM; KH; LA; PG; CF; TD; NE; SS; YE; PH; BI; NP; GN; DJ; SD; MR; LR; AF; UA; TJ; NA; CN; TG; LS; MX; IR; IQ; SY; MU; SZ; EG; MN; LB; TN; BW,ZA; AO; CM; Democratic Republic of the Congo; Ethiopia; GH; CI; Kenya; MG; NG; ZW; SN; Uganda; ZM; CG; MZ; Tanzania; Rwanda; GM; MW; ML; PE; PK; BD; IN; ID; VN; Somalia; BJ; SL; BF; DO; GT; HT; HN; NI; PA; MM; KH; LA; PG; CF; TD; NE; South Sudan; YE; PH; BI; NP; GN; DJ; SD; MR; LR; AF; UA; TJ; NA; CN; TG; LS; MX; IR; IQ; SY; MU; SZ; EG; MN; LB; TN; BW,2221249301.52,67.2,294,Medical devices; Facility / hospital infrastructure; Diagnostic equipment; Diagnostic Equipment,Tier 1,,intelligence
org_intel_1ede24e838ce,org_906aee231f3a,World Health Organization,Donor,implementing; reporting; accountable; funding,279,271,8,TZ; SO; CD; SS; KE; ET; UG; RW; BE; EG; IE; NP; CH; GB; US; BD; GH; ID; MR; LK; TH,Tanzania; Somalia; Democratic Republic of the Congo; South Sudan; Kenya; Ethiopia; Uganda; Rwanda; BE; EG; IE; NP; CH; GB; US; BD; GH; ID; MR; LK; TH,1142438022.1,56.6,151,Medical devices; Facility / hospital infrastructure; Laboratory equipment; Diagnostic Equipment,Tier 1,,intelligence
org_intel_4a46a77c872f,org_10d2303f236a,UNICEF,Donor,funding; implementing; accountable; reporting,385,117,268,SO; TZ; CD; SS; RW; UG; ET; KE; BD; CI; CO; GH; HT; JM; JO; MZ; NG; SN; BE; EG; IE; NP; CH; GB; US; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TD; TG,Somalia; Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Ethiopia; Kenya; BD; CI; CO; GH; HT; JM; JO; MZ; NG; SN; BE; EG; IE; NP; CH; GB; US; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TD; TG,8380395652.99,58.2,99,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_3581465b52eb,org_150f3106e43a,UNICEF Regular Resources,Donor,funding,250,63,187,SO; TZ; CD; SS; RW; UG; ET; KE,Somalia; Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Ethiopia; Kenya,7422539527.0,62.3,85,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_a8c35b628a1d,org_d96f8fde4782,The United Kingdom,Donor,reporting; funding; accountable,299,182,117,TZ; CD; SS; RW; SO; ET; KE; UG; GH; NG; CM; SN; BI; KH; IN; ID; MW; MM; ZA; VN; ZM; TD; CI; ML; NE; GB; ZW; MZ; NP; SL; PK; BD; LS; PH; SZ; TH; LA; BW; LR; SY; TL; IQ; EG; YE; MY; JO; TN; SD; MG; AO; AF; CO; DZ; LB; LK; LY; MA; TR; BG,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Somalia; Ethiopia; Kenya; Uganda; GH; NG; CM; SN; BI; KH; IN; ID; MW; MM; ZA; VN; ZM; TD; CI; ML; NE; GB; ZW; MZ; NP; SL; PK; BD; LS; PH; SZ; TH; LA; BW; LR; SY; TL; IQ; EG; YE; MY; JO; TN; SD; MG; AO; AF; CO; DZ; LB; LK; LY; MA; TR; BG,8459897921.28,55.1,77,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_0035179113d1,org_afbd2f538c3d,Republic of Korea,Donor,reporting; funding,123,74,49,CD; TZ; KE; ET; SS; RW; UG; SO,Democratic Republic of the Congo; Tanzania; Kenya; Ethiopia; South Sudan; Rwanda; Uganda; Somalia,32237984673.0,67.6,76,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Medical Devices & Equipment,Tier 1,,intelligence
org_intel_87bf30869a18,org_9f9a39a5a240,Federal Ministry for Economic Cooperation and Development (BMZ),Donor,reporting; funding,180,142,38,CD; SS; SO; ET; RW; TZ; KE; UG,Democratic Republic of the Congo; South Sudan; Somalia; Ethiopia; Rwanda; Tanzania; Kenya; Uganda,3411794263.77,55.8,60,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Medical Devices & Equipment,Tier 1,,intelligence
org_intel_cd26a9aa235d,org_71a798919964,United States Fund for UNICEF,Donor,funding,120,48,72,TZ; CD; UG; SO; ET; SS; KE; RW,Tanzania; Democratic Republic of the Congo; Uganda; Somalia; Ethiopia; South Sudan; Kenya; Rwanda,4561607095.0,67.7,56,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_f8b775e2ee2b,org_d519f4b3c443,Bureau for Humanitarian Assistance,Donor,funding,153,40,113,TZ; CD; SS; RW; SO; ET; KE; UG,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Somalia; Ethiopia; Kenya; Uganda,5687144656.44,62.5,51,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_5a4c030c129e,org_feb359fc4dce,Global - Thematic Humanitarian Resp,Donor,funding,130,32,98,TZ; CD; SS; RW; UG; SO; ET; KE,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Somalia; Ethiopia; Kenya,5198449820.0,62.6,45,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
