procurement_event_id,source,source_url,tender_reference,title,buyer,country,publication_date,closing_date,equipment_category,product_family,estimated_value,currency,matched_iati_identifier,match_confidence,match_status,project_reference,procurement_stage,procurement_priority,opportunity_status,faram_relevance_score,faram_relevance_reason
proc_6ebdaa7f0c1bde83,AfDB,https://www.afdb.org/en/about-us/corporate-procurement,,Corporate Procurement,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_9522f622d3e777f5,AfDB,https://www.afdb.org/en/documents/project-related-procurement,,Project-related Procurement,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_86643b3597b7b355,AfDB,https://www.afdb.org/en/documents/project-related-procurement/procurement-notices/general-procurement-notices,,General Procurement Notices,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,LOW,UPCOMING_GPN,12.0,Upcoming procurement.
proc_98c0fad7c0f9ea02,AfDB,https://www.afdb.org/en/documents/project-related-procurement/procurement-notices/invitation-for-bids,,Invitation for Bids,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,NOTICE,0.0,No strong Faram product or market fit identified by the heuristic.
proc_807aef1095af2827,AfDB,https://www.afdb.org/en/documents/project-related-procurement/procurement-notices/procurement-plans,,Procurement plans,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,LOW,PROCUREMENT_PLAN,10.0,Procurement plan.
proc_8a5f19940b16a868,AfDB,https://www.afdb.org/en/documents/spn-sierra-leone-supply-delivery-cassava-processing-equipment-abc-wokdoncam,,SPN - Sierra Leone - Supply & Delivery of Cassava Processing Equipment for ABC - WOKDONCAM,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_c4d7f91dd43e0c18,AfDB,https://www.afdb.org/en/documents/spn-tanzania-supply-last-miles-connection-materials-under-submarine-power-cable-project-zanzibar-under-lot-1-3,,SPN - Tanzania - Supply of Last Miles Connection Materials under Submarine Power Cable Project to Zanzibar under Lot 1-3,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_d8a65b88e26571d9,AfDB,https://www.afdb.org/en/documents/spn-rwanda-supply-34-electric-buses-enhancing-e-mobility-charging-infrastructure-city-kigali,,SPN - Rwanda - Supply of 34 Electric Buses - Enhancing E-Mobility Charging Infrastructure in the City of Kigali,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_21c6608c419135c0,AfDB,https://www.afdb.org/en/documents/ppm-rwanda-supply-flight-training-aircraft-centre-excellence-aviation-skills-ceas,,PPM - Rwanda - Supply of Flight Training Aircraft for the Centre of Excellence in Aviation Skills (CEAS),African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_f40e96d63c6802ba,AfDB,https://www.afdb.org/en/documents/spn-eritrea-supply-installation-commissioning-solar-powered-irrigation-system-5-sites-drslp-v,,"SPN - Eritrea - Supply, Installation & Commissioning of Solar Powered Irrigation System at 5 Sites - DRSLP V",African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_51b2ffd62c51aa15,AfDB,https://www.afdb.org/en/documents/spn-south-sudan-supply-six-6-no-cesspool-emptier-truck-crsisp,,SPN - South Sudan - Supply of Six (6) NO. Cesspool Emptier Truck - CRSISP,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_8b3ce4adb541619a,AfDB,https://www.afdb.org/en/documents/spn-south-sudan-supply-two-2-no-double-cab-pick-crsisp,,SPN - South Sudan - Supply of Two (2) NO. Double Cab Pick-Up - CRSISP,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_d9eff89b33c10cf3,AfDB,https://www.afdb.org/en/documents/spn-mozambique-construction-water-supply-systems-infrastructures-under-negomano-roma-section-mueda-negomano-road-project-phase-i,,SPN - Mozambique - Construction of Water Supply Systems Infrastructures under Negomano Roma Section - Mueda – Negomano Road Project Phase I,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_2e8f3430f841fe82,AfDB,https://www.afdb.org/en/documents/spn-ethiopia-consultancy-services-enhance-staff-technical-capability-developing-export-and-import-volume-price-indices-isp-smm,,SPN - Ethiopia - Consultancy Services to enhance staff technical capability in developing export and import volume & price indices - ISP-SMM,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
proc_164838d7d45212d3,AfDB,https://www.afdb.org/en/documents/spn-ethiopia-consultancy-services-environmental-and-social-impact-assessment-esia-cif-npc-brefol-project,,SPN - Ethiopia - Consultancy Services for the Environmental and Social Impact Assessment (ESIA) for the CIF NPC-BREFOL Project,African Development Bank,,,,,,,,,0.0,UNMATCHED,,NOTICE,MONITOR,UNKNOWN,0.0,No strong Faram product or market fit identified by the heuristic.
