manufacturer_relationship_id,party_role,party_name,organisation_entity_id,target_account_id,country,manufacturer_name,manufacturer_entity_id,product_families,models,procurement_event_count,observed_award_count,specified_notice_count,explicit_preference_count,model_specification_count,first_evidence_date,latest_evidence_date,tender_references,procurement_event_ids,iati_project_ids,source_urls,relationship_signal,preference_status,relationship_confidence,recommended_action,source_layer
mfr_rel_bc3ce9484812bd542633,RECEIVING_PARTY,Ministry of Health,,acct_e306f1ee07c6,Kenya,Abbott,mfr_09cdd94461e2,,,3,3,0,0,0,2020-08-19,2022-05-05,KE-KEMSA-177346-GO-DIR; KE-KEMSA-193291-GO-DIR; KE-KEMSA-227680-GO-DIR,proc_11bbeab6e3d4d4dc; proc_185b3166459b81b5; proc_e21f5ad7ea95ba13,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094673; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00125752; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00178009,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_ec16f2ed14bbed041400,RECEIVING_PARTY,Republic of Kenya,,acct_5e6e7c9f9128,Kenya,Abbott,mfr_09cdd94461e2,,,3,3,0,0,0,2020-08-19,2022-05-05,KE-KEMSA-177346-GO-DIR; KE-KEMSA-193291-GO-DIR; KE-KEMSA-227680-GO-DIR,proc_11bbeab6e3d4d4dc; proc_185b3166459b81b5; proc_e21f5ad7ea95ba13,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094673; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00125752; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00178009,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_c762bf32ab5f57fe8e1f,DONOR,World Bank,,acct_e5a449ddc710,Kenya,Abbott,mfr_09cdd94461e2,,,3,3,0,0,0,2020-08-19,2022-05-05,KE-KEMSA-177346-GO-DIR; KE-KEMSA-193291-GO-DIR; KE-KEMSA-227680-GO-DIR,proc_11bbeab6e3d4d4dc; proc_185b3166459b81b5; proc_e21f5ad7ea95ba13,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094673; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00125752; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00178009,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_c23d58ceec39116aacc5,RECEIVING_PARTY,Ministry of Health,,acct_e306f1ee07c6,Kenya,Roche,mfr_5f29c28d0eca,,,2,2,0,0,0,2020-08-19,2020-08-24,KE-KEMSA-182190-GO-DIR; KE-KEMSA-189958-GO-DIR,proc_1a7e9e1e8c368d16; proc_2f71e8c639d1ce24,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094656; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094897,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_eebd20bcebaccc0b00e8,RECEIVING_PARTY,Republic of Kenya,,acct_5e6e7c9f9128,Kenya,Roche,mfr_5f29c28d0eca,,,2,2,0,0,0,2020-08-19,2020-08-24,KE-KEMSA-182190-GO-DIR; KE-KEMSA-189958-GO-DIR,proc_1a7e9e1e8c368d16; proc_2f71e8c639d1ce24,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094656; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094897,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_cabd3becfa57a7d784e6,DONOR,World Bank,,acct_e5a449ddc710,Kenya,Roche,mfr_5f29c28d0eca,,,2,2,0,0,0,2020-08-19,2020-08-24,KE-KEMSA-182190-GO-DIR; KE-KEMSA-189958-GO-DIR,proc_1a7e9e1e8c368d16; proc_2f71e8c639d1ce24,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094656; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00094897,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_2c0156fc61805acde61a,DONOR,World Bank,,acct_e5a449ddc710,Uganda,Roche,mfr_5f29c28d0eca,,,2,2,0,0,0,2016-03-14,2020-10-29,MWE/SPLS/14-15/00309A; UG-MOH-167324-GO-DIR,proc_4e18b3bbd24da3aa; proc_ecbc56b82de25c32,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00036645; https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00102941,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,90.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_5ffbe7f4ff9247909b24,RECEIVING_PARTY,Federal Democratic Republic of Ethiopia,,acct_432578960023,Ethiopia,SHINVA,mfr_555f22d79882,,,1,1,0,0,0,2025-05-08,2025-05-08,ET-MOH-400003-GO-RFB,proc_f43ae7bf6f8afd64,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00356382,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,85.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_382efb842563d5beb094,RECEIVING_PARTY,"Government of Uganda, Ministry of Finance, Planning and Economic Development, Uganda",,,Uganda,Roche,mfr_5f29c28d0eca,,,1,1,0,0,0,2016-03-14,2016-03-14,MWE/SPLS/14-15/00309A,proc_4e18b3bbd24da3aa,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00036645,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,85.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
mfr_rel_447ed949d52904fab22e,RECEIVING_PARTY,"Ministry of Finance, Planning and Economic Development",,,Uganda,Abbott,mfr_09cdd94461e2,,,1,1,0,0,0,2020-10-29,2020-10-29,UG-MOH-167327-GO-DIR,proc_7c323db62a9b5eef,,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00102942,OBSERVED_AWARD_AFFINITY,NOT_ESTABLISHED,85.0,Use award history as incumbent context; verify the next tender remains open to alternatives.,intelligence
