procurement_event_id,source,tender_reference,title,buyer,country,publication_date,closing_date,matched_iati_identifier,procurement_category,product_family,equipment_entity_id,manufacturer_names,manufacturer_entity_ids,product_evidence,manufacturer_evidence,match_confidence,match_status,match_evidence,recommended_action
proc_6ebdaa7f0c1bde83,AfDB,,Corporate Procurement,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_9522f622d3e777f5,AfDB,,Project-related Procurement,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_86643b3597b7b355,AfDB,,General Procurement Notices,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_98c0fad7c0f9ea02,AfDB,,Invitation for Bids,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_807aef1095af2827,AfDB,,Procurement plans,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_8a5f19940b16a868,AfDB,,SPN - Sierra Leone - Supply & Delivery of Cassava Processing Equipment for ABC - WOKDONCAM,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_c4d7f91dd43e0c18,AfDB,,SPN - Tanzania - Supply of Last Miles Connection Materials under Submarine Power Cable Project to Zanzibar under Lot 1-3,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_d8a65b88e26571d9,AfDB,,SPN - Rwanda - Supply of 34 Electric Buses - Enhancing E-Mobility Charging Infrastructure in the City of Kigali,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_21c6608c419135c0,AfDB,,PPM - Rwanda - Supply of Flight Training Aircraft for the Centre of Excellence in Aviation Skills (CEAS),African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_f40e96d63c6802ba,AfDB,,"SPN - Eritrea - Supply, Installation & Commissioning of Solar Powered Irrigation System at 5 Sites - DRSLP V",African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_51b2ffd62c51aa15,AfDB,,SPN - South Sudan - Supply of Six (6) NO. Cesspool Emptier Truck - CRSISP,African Development Bank,,,,,,,,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
